source,title,url,snippet,published_date,query,year,extracted,extraction_status
DAWN,'PSB's intervention in national federations will be subjective ...,https://www.dawn.com/news/1918647,"“Pakistan Hockey Federation is maintaining [an] account in Habib Bank Limited, Lahore, having enough funds for the said payment,” the letter said. “But as ...",Not Found,HBL_STRICT,2025,"June 21, 2025",SUCCESS
DAWN,"HBL PSL 2025 : Batters, Faheem give Quetta Gladiators ...",https://www.dawn.com/news/1906986,"HBL Pakistan Super League: Mitchell, Raza star as Qalandars deepen Sultans' woes ...",Not Found,HBL_STRICT,2025,"April 28, 2025",SUCCESS
DAWN,HBL PSL 2025: Quetta Gladiators upstage Islamabad ...,https://www.dawn.com/news/1908302,HBL Pakistan Super League: Raza stars as Qalandars end United's perfect run ...,Not Found,HBL_STRICT,2025,"May 4, 2025",SUCCESS
DAWN,Trading dollars for dragons - Newspaper,https://www.dawn.com/news/1954097,It has been reported that Pakistan's deal is supposed to be jointly led by arrangers and advisors from Habib Bank Limited (HBL) and China International Capital ...,Not Found,HBL_STRICT,2025,"November 10, 2025",SUCCESS
DAWN,HBL PSL 2025: Warner-inspired Karachi Kings upstage ...,https://www.dawn.com/news/1911673,"... HBL Pakistan Super League X resumed with a bang after a nine-day hiatus due to military clashes between India and Pakistan. But despite Babar's show, Zalmi ...",Not Found,HBL_STRICT,2025,"May 18, 2025",SUCCESS
DAWN,CRICKET: PSL AND THE NEXT DECADE - Newspaper,https://www.dawn.com/news/1929775,HBL Pakistan Super League: Quetta Gladiators' fightback floors Karachi Kings ...,Not Found,HBL_STRICT,2025,"August 10, 2025",SUCCESS
DAWN,UBL adjudged best at first Pakistan Banking Awards,http://www.dawn.com/news/1258421,"At the same time, Habib Bank Limited bagged two awards for the 'best bank for small business and agriculture' and the 'best Environmental, Social and Governance ...",Not Found,HBL_STRICT,2016,"May 15, 2016",SUCCESS
DAWN,"Gladiators, United clash for big prize in PSL final today",http://www.dawn.com/news/1241238,"After a 20-match long tournament, Islamabad United and Quetta Gladiators will meet in the final of the inaugural edition of the HBL Pakistan Super League (PSL)",Not Found,HBL_STRICT,2016,"February 23, 2016",SUCCESS
DAWN,My career is not over: Umar Gul,http://www.dawn.com/news/1251447,Gul had a fruitful first-class season with Habib Bank Limited before being dropped after Pakistan's ODI series defeat in Bangladesh in 2015. He made a ...,Not Found,HBL_STRICT,2016,"April 11, 2016",SUCCESS
DAWN,"Misbah, Azhar help SNGPL retain Quaid Trophy title",http://www.dawn.com/news/1231181,"SNGPL, who won the now defunct President's Trophy in both seasons they were held in 2012-13 and 2013-14 by defeating Habib Bank Limited and UBL respectively ...",Not Found,HBL_STRICT,2016,"January 7, 2016",SUCCESS
DAWN,Trendsetters Quetta Gladiators keep it modest and simple,https://www.dawn.com/news/1240022,The Gladiators were those 'outsiders' at the start of the inaugural edition of HBL Pakistan Super League. While other teams spoke of the Chris Gayle and the ...,Not Found,HBL_STRICT,2016,"February 17, 2016",SUCCESS
DAWN,The Navy jawaan who would be Adam Gilchrist - Newspaper,http://www.dawn.com/news/1290111,"... Habib Bank Limited. “When I was in the navy, I'd live inside the PNS Karsaz premises. After leaving service, I lodged with a friend in his apartment for two ...",Not Found,HBL_STRICT,2016,"October 16, 2016",SUCCESS
DAWN,Survivors of Regent Plaza fire share the horror - Pakistan,http://www.dawn.com/news/1300680,"Due to the fire incident at the hotel, the match between United Bank Limited and Habib Bank Limited of the Super Eight round of Quaid-i-Azam Trophy has also ...",Not Found,HBL_STRICT,2016,"December 6, 2016",SUCCESS
DAWN,HBL agrees to pay $225m fine - Pakistan,https://www.dawn.com/news/1356228,Bankers smell a rat in timing of HBL penalty · HBL earnings drop 2.5pc to Rs34.2bn. Comments (117) Closed. Popular Newest,Not Found,HBL_STRICT,2017,"September 8, 2017",SUCCESS
DAWN,Bankers smell a rat in timing of HBL penalty - Business,https://www.dawn.com/news/1355730,Bankers smell a rat in timing of HBL penalty ... Habib Bank Limited has voluntarily decided to wind up operations at its New York branch as the New York State ...,Not Found,HBL_STRICT,2017,"September 5, 2017",SUCCESS
DAWN,HBL profit drops 94pc after US penalty - Pakistan,https://www.dawn.com/news/1365137,Pakistan Governemnt should initiate criminal proceedings against the HBL bank for indulging in corrupt banking practices to show the world that they were not ...,Not Found,HBL_STRICT,2017,"October 21, 2017",SUCCESS
