date,Open,High,Low,Close,Volume,daily_sentiment,daily_sentiment_sum,daily_news_count,daily_pos,daily_neg,daily_neu,quarterly_sentiment,annual_sentiment,log_return,close_next,log_return_next,direction_next,quarterly_date,annual_date
2024-08-21,117.4722218009193,117.92684126454228,115.84245539418797,116.64876556396484,403561,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.0067425641851404094,114.85601043701172,-0.015488155323575725,0,2024-06-30,2023-12-31
2024-08-22,116.65734228120616,116.65734228120616,113.6637043004758,114.85601043701172,842193,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.015488155323575725,115.00183868408205,0.0012688560968721063,1,2024-06-30,2023-12-31
2024-08-23,115.45645814249724,115.45645814249724,114.08401364516028,115.00183868408205,515666,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.0012688560968721063,110.71297454833984,-0.03800707935395131,0,2024-06-30,2023-12-31
2024-08-26,115.04472583264824,115.75668032542052,110.2240367409678,110.71297454833984,3044515,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.03800707935395131,110.20686340332033,-0.0045818613224613,0,2024-06-30,2023-12-31
2024-08-27,110.66148283837823,111.49352514524274,109.70935917011168,110.20686340332033,635725,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.0045818613224613,109.72652435302734,-0.004368048152450399,0,2024-06-30,2023-12-31
2024-08-28,110.6529224839906,110.6529224839906,108.50848600174274,109.72652435302734,514558,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.004368048152450399,108.9716796875,-0.006903098874300184,0,2024-06-30,2023-12-31
2024-08-29,109.7951424707143,110.63575786544745,108.07959336960938,108.9716796875,1469353,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.006903098874300184,107.58208465576172,-0.012833894706168358,0,2024-06-30,2023-12-31
2024-08-30,108.74865859078636,110.48136688147028,106.87870977237633,107.58208465576172,2262774,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.012833894706168358,105.7035675048828,-0.017615490847918913,0,2024-06-30,2023-12-31
2024-09-02,107.69360432767546,110.73870679462196,104.63992228227058,105.7035675048828,4119350,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.017615490847918913,106.01385498046876,0.0029311493980976877,1,2024-06-30,2023-12-31
2024-09-03,105.94292922042747,106.38620507490626,105.05637751146992,106.01385498046876,1820294,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.0029311493980976877,106.35074615478516,0.003172764718066823,1,2024-06-30,2023-12-31
2024-09-04,106.38620903612625,106.96246902117583,105.8542793437162,106.35074615478516,471361,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.003172764718066823,105.08297729492188,-0.011992259633408331,0,2024-06-30,2023-12-31
2024-09-05,106.78515502268216,106.78515502268216,104.61310595209927,105.08297729492188,1560409,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.011992259633408331,105.94293212890624,0.008150274975025518,1,2024-06-30,2023-12-31
2024-09-06,105.05638039560996,106.3418777033484,104.63969999874423,105.94293212890624,985098,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.008150274975025518,103.39851379394533,-0.024309984388269257,0,2024-06-30,2023-12-31
2024-09-09,106.29754140120528,106.29754140120528,102.83998870407376,103.39851379394533,1674924,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.024309984388269257,106.15570831298828,0.02631637400979603,1,2024-06-30,2023-12-31
2024-09-10,102.92866037277872,106.74083573482189,102.92866037277872,106.15570831298828,2113941,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.02631637400979603,103.7442855834961,-0.022977883734099258,0,2024-06-30,2023-12-31
2024-09-11,105.93406954677732,105.94293695839332,102.89319669239649,103.7442855834961,1837630,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.022977883734099258,103.2212142944336,-0.005054682090186446,0,2024-06-30,2023-12-31
2024-09-12,103.9481864150122,104.08117052225823,101.95344509787977,103.2212142944336,1187511,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.005054682090186446,102.396728515625,-0.008019632784985298,0,2024-06-30,2023-12-31
2024-09-13,103.72655615868506,104.15210398055969,101.77614498773823,102.396728515625,745390,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.008019632784985298,102.84000396728516,0.004319656969488328,1,2024-06-30,2023-12-31
2024-09-16,101.86479838588326,103.2389495529963,101.55450662323535,102.84000396728516,238665,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.004319656969488328,102.84000396728516,0.0,0,2024-06-30,2023-12-31
2024-09-17,102.84000396728516,102.84000396728516,102.84000396728516,102.84000396728516,0,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.0,103.0705108642578,0.0022389045401549623,1,2024-06-30,2023-12-31
